Comment,is_hate
প্যাকেটটা যেনো কোথায় দেখেছি🤔মনে হয় ফার্মেসিতে🤭,0
idol,0
Salman x Sensation ❤️‍🔥,0
সেরা বিনদন😂😂,0
He fu**d that song,0
বদমাইশ ভাল হলি না,0
কন্ডোম ব্যবহার করেই একনো তুমি বাবা হতে পারোনাই সালমান 🫦,0
🍓,0
MD Mamun Neon Ahmed,0
Akib Hassan Khan Muhammad Shariar Rifat Asif Ahmed 🤣,0
Ami and amar gf. Ami engineering student and o medical student. Searching place to have some private space.,0
Ore Salman re 😂,0
Bad boy,0
Good boy 🙂,0
এটা দিয়ে কি ভাবিকে ডুকাও? মজা লাগে??🥶,0
Ki vai egula?,0
😂😂😂❤️🔥,0
TI Efti 🔥,0
Jibone eita ads o influence der theke dekha baki chilo🙂,0
Strawberry 🍓🍓🍌,0
সেই হইছে😂🔥,0
"eh, EH?!bhai, bad boy hoye gelen naki abar?",0
Use of umbrella is a great idea.,0
দারুন সুভাস 😂,0
পেত্নী আর কিছু পাইলি না।,0
এটা পরিয়ে দেখালে ভাল হতো আজাইরা,0
সিটি নির্বাচনে সালমানের কলা মার্কায় ভোট দিন🙄🙊,0
Bahhhh🙂,0
Vai tore ei ad ta tey joss manai trust me ( cz u r a romantic boy),0
Vhai apnr bow kisu bole nah etaw ki promotion?,0
Imam Hasan Asif,0
sobai ei product ta use koiren nahole video er ei tar moto ekta chele pouda hoye jaite pare,0
ছাতার সাথে মাথায় একটা হেলমেট পড়ে নিলে বেস্ট হতো ভাই🤐,0
ফালতু,0
"Vai eita ki ad chilo na, apnaer cinematic video shut😂",0
ধনে পইড়া ট্রায়াল দিয়া দেখাইতা ব্র,0
Salary vhalo oibo na😂😂,0
খাটাস একটা,0
ata ki type ad 🤔🤔,0
বাহ চুদির ভাই বাহ,0
patha!,0
🙂🙂🙂,0
Kharap manush ke diye to khrp add korabe aitai normal👀👍,0
"এটা কিনলে কি, সাথে ছাতা ফ্রি নাকি 🤣🤣",0
Who is ur tg?Rural mass people?,0
brother use korso je feedback ￼ta daw,0
Tmr bou ase jantami na,0
এটা কী 🙂,0
Con**m marka😂,0
সালমান ভাই এর সাথে এটাই যায় 😆😆😆😆,0
😂🤣😂,0
আমিন,0
আচ্ছা বাংলাদেশ তরুণ রা রাজনৈতি আসা উছিত হবে এদের জীবনি পড়ে রাজনৈতি করার খুব ইচ্ছে তৈরি হচ্ছে,0
একজন খুনি কেমনে জান্নাত পায়,0
বিনম্র শ্রদ্ধা।,0
বিনম্র শ্রদ্ধা..!!🖤🏴,0
বিনম্র শ্রদ্ধা,0
আমিন🛰️🌹🇧🇩🌹🛰️,0
"‌বিনম্র শ্রদ্ধা, জয় বাংলা জয় বঙ্গবন্ধু",0
নির্বাচনি,0
খুনি,1
বিনম্র শ্রদ্ধা জ্ঞাপন করছি।,0
জারোজ,1
তুই জীবনে দেশে আসতে পারবী না,0
খানকি পোলা,1
🥲,0
🇮🇳🇮🇳🇮🇳🇮🇳,0
খবিস,0
🥰🥰,0
"কমেন্ট মানেই শুধু কিছু শব্দ নয়,এটা হৃদয় ছুঁয়ে সম্পর্ক গড়ার এক সুন্দর সেতু।ভালো কথার মধ্যেই লুকিয়ে থাকে শক্তিশালী এনগেজমেন্টের শুরু। ✨💬🌿✅💯",0
তোমাদের মধ্যে কেউ যদি নিজের কল্পনা ও বাস্তবতা দেখে সুন্দর কিছু লিখে প্রকাশ করতে চাও তাইলে আমাদের ক্যাপশন গুরুপে ঢুকতে পারো,0
বাল যোদ্ধা তোফায়েল আহমেদের মৃত্যুতে একটা হয়ে যাক স্যাড সং 😁,1
সে একজন হত্যাকারী,0
Amin,0
ইন্নালিল্লাহি ওয়া ইন্না ইলাইহি রাজিউন,0
যে মানুষগুলোর লাল সবুজের পতাকা পাইছে বাংলাদেশ তাদের সকলের জন্য দোয়া রইল আল্লাহ যাতে জান্নাত নসিব করে 🤲🤲,0
আমিন🤲,0
Love you boss 💐💐,0
khuni,0
💖💖,0
Joy bangla,0
দোসর,0
মাশরাফি হুইপ,0
👍,0
যতো কমেন্ট ততো এনগেজমেন্ট- আর এনগেজমেন্ট বাড়লে ফলোয়ার এমনিতেই আসবে✅,0
"ক্রিকেট তো উসিলা, আসল উদ্দেশ্য তো ক্ষমতা আর কোদাল দিয়ে টাকা খোঁড়া! 💰🏏এতদিন যারা দেশপ্রেমের গল্প খুঁজতেন, তারা এবার চোখ খোলেন। রাজনীতি, দালালি আর স্ক্রিপ্টেড ড্রামা—সব এক ফ্রেমে! দেশের জার্সি গায়ে দিয়ে যারা শুধু ব্যাংক ব্যালেন্সের হিসাব বোঝে, তাদের আসল রূপটা কেমন? 😉",1
কিরে আচুদা জুয়াড়ি তোর দুই বাপেরে দেইখ্যা তো গে মনে হইতাছে।তোর বাপ ২ডারে দেইখ্যা মনে হইতেছে একটা আরেকটারে চুম্মাইব এখন।,0
২ বাপের অবৈধ সন্তান জুয়াড়ি বাইঞ্চোদ সাকি বাল।,1
মুজিব সৈনিক কখনো মরে না অমর হয়ে থাকেন হয়তো কারো হৃদয়ে।,0
"শুভ সন্ধ্যা। বাংলাদেশে একটি নতুন ওয়েবসাইট চালু হচ্ছে। যারা অ্যাফিলিয়েট মার্কেটিংয়ে আগ্রহী, তারা ইনবক্সে যোগাযোগ করুন।",0
জয় বাংলা জয় বঙ্গবল্টু,0
মাঠে একদিন এর বদলা হবে,0
আমিন।,0
"Shakib Al Hasan ক্রিকেটার নাইম হাসান কে পুলিশ এভাবে হেনস্থা করল, এতে আপনার একটা প্রতিবাদমূলক পোস্ট আশা করছি।",0
গু*য়া মারা গেছে,0
বিনম্র শ্রদ্ধা 🖤,0
"দেখতে নমরুদের মতো,",0
🖕🖕,0
জয় হোক সাকিব ভাইয়ের জয় বাংলা জয় বঙ্গবন্ধু জয় হোক বাংলাদেশ আওয়ামী লীগের,0
🫂🫂🇦🇷🫂🇦🇷,0
মরে গেল জঙ্গি সুকুন,1
❤️❤️❤️,0
"কিংবদন্তির মৃত্যু হয় না , তারা সময়ের সীমা পেরিয়ে স্মৃতির আকাশে চিরন্তন তারার মতো জ্বলে থাকে, প্রজন্ম থেকে প্রজন্মকে আলো দেখায়।",0
"যতই তেল মারামারি করেন না কেন প্রতিটি মানুষ তার কর্মের ফল ভোগ করবে। হোক সে সাধারণ / অসাধারণ ব্যক্তি, রাজনীতিবিদ / অরাজনীতিবিদ।",0
কাউয়ার দুয়াতে ডাউয়া পাকে না,0
ভোলা গর্ব,0
তার বড় বড় অপরাধ গুলো আপনার চোখে পড়ে না??,0
nohuton pojormer arek name .......................sahakib al hasan❤️,0
ইয়া আল্লাহ তুমি তাকে জান্নাতুল টুঙ্গিপাড়া দান করো আমিন,0
K kake lagabe?,0
To good bro✌️,0
when father in law saw u the heir..by law with law.. Both way u r the son meet daddy pro max 😎,0
I'm brown mermaid without tail What is the procedure to join here 🙂🤝🙂🐞,0
Bro Rs fahim re niya kichu bola drokar bole mne hoy na?,0
আসল নকল কোনজনা?,0
সালমান মুক্তাদির ভাইয়ের ট্রান্স*জেন্ডার ভার্সন   🥸,0
"""Sudan 🇸🇩 "" ✊",0
🥴🤣,0
Nice,0
Cute,0
A strong step father and a strong step son.,0
সমঝোতা 😅,0
"Extraordinary—whether new or old,Friends do not have to be understood separately…Because friends are not just people,Friends are an invisible bond of relationship.Friends mean laughing together,And the right to be angry without hesitation.Friends mean understanding even if you don't say it,Being there even if you are silent.Friends mean sharing happiness even if you don't call,And sharing sadness without asking.Equal happiness, equal sadness—Without any calculation, without any conditions.Friendship is not actually time,Friendship is the name of feelings—Which is yours even if it is new,And never gets old even if it is old.",0
How ?,0
"একজন কাব্যিক সালমান,আরেকজন সাব্যিক মুক্তাদির।",0
Salman bro! Is this a joke or are you serious?,0
Jumael Hossain,0
মনে কাজে যেন বাশ দেওয়া হবে,0
Only salman can do it...  ❤️‍🔥,0
সালমান মুক্তাদিরের বাপ চাচা,0
Salary range should be higher,0
Father math Teacher son physics teacher 🤣🤣,0
🤝,0
"Hoten salman, Soken Muktadir",0
একজন স্যার আরেকজন ষাড় ! 😑,0
Faahhhhhh,0
Heil Salman Bhai ✊🏻,0
যখন যে দল আসেসেই দলের সুবিধা বাদী।।লেওড়া।।,0
"একজন সালমান, একজন মুক্তাদির🥴ব্যাস ল্যাটা চুকে গেল😁",0
Done🤝,0
